Compound,A,B,In literature,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,μ,target
0,0,0,False,1,1,1.12,1.12,1.12,1.1,1.1,0.0,0.0,-3.248,0.707106781,0.8,1
1,0,1,False,1,1,1.12,1.12,0.95,1.1,1.93,0.0,2.488353231,-2.565071429,0.758259187,0.678571429,2
2,0,2,False,1,1,1.12,1.12,0.54,1.1,1.61,0.0,1.892894405,-1.846714286,0.918509839,0.385714286,1
3,0,3,False,1,1,1.12,1.12,0.52,1.1,2.18,0.0,1.932227032,-1.577428571,0.92807765,0.371428571,2
4,0,4,False,1,1,1.12,1.12,0.93,1.1,2.54,0.0,2.31369847,-2.279785714,0.764767849,0.664285714,2
5,0,5,False,1,1,1.12,1.12,0.27,1.1,2.04,0.0,1.624661665,-1.117357143,1.06701143,0.192857143,1
6,0,6,False,1,1,1.12,1.12,1.35,1.1,0.89,0.0,2.64009357,-3.806785714,0.647966941,0.964285714,2
7,0,7,False,1,1,1.12,1.12,0.45,1.1,1.57,0.0,1.803349248,-1.676928571,0.963194102,0.321428571,1
8,0,8,False,1,1,1.12,1.12,0.9,1.1,2.02,0.0,2.215655462,-2.425857143,0.774743082,0.642857143,2
9,0,9,False,1,1,1.12,1.12,1.0,1.1,1.0,0.0,2.318139449,-3.040285714,0.74246212,0.714285714,2
10,0,10,False,1,1,1.12,1.12,0.95,1.1,1.69,0.0,2.286435201,-2.661071429,0.758259187,0.678571429,2
11,0,11,False,1,1,1.12,1.12,0.94,1.1,1.12,0.0,2.268642439,-2.868428571,0.761499611,0.671428571,1
12,0,12,False,1,1,1.12,1.12,0.63,1.1,1.88,0.0,1.930310969,-1.9245,0.877787728,0.45,3
13,0,13,False,1,1,1.12,1.12,0.58,1.1,1.66,0.0,1.960053288,-1.909285714,0.899954085,0.414285714,2
14,0,14,False,1,1,1.12,1.12,1.67,1.1,0.79,0.0,3.009747218,-4.507357143,0.580426413,1.192857143,4
15,0,15,False,1,1,1.12,1.12,0.68,1.1,1.9,0.0,2.005573846,-2.019714286,0.856687062,0.485714286,2
16,0,16,False,1,1,1.12,1.12,0.99,1.1,1.22,0.0,2.255580699,-2.931642857,0.745568656,0.707142857,2
17,0,17,False,1,1,1.12,1.12,0.89,1.1,1.24,0.0,2.250676638,-2.717214286,0.77812624,0.635714286,2
18,0,18,False,1,1,1.12,1.12,1.06,1.1,1.2,0.0,2.354367494,-3.084142857,0.724353288,0.757142857,2
19,0,19,False,1,1,1.12,1.12,0.67,1.1,1.83,0.0,1.999521816,-2.027071429,0.860825647,0.478571429,2
20,0,20,False,1,1,1.12,1.12,0.62,1.1,1.81,0.0,1.974643898,-1.931857143,0.882133212,0.442857143,2
21,0,21,False,1,1,1.12,1.12,0.94,1.1,1.2,0.0,2.28415608,-2.836428571,0.761499611,0.671428571,2
22,0,22,False,1,1,1.12,1.12,0.63,1.1,2.01,0.0,1.899964183,-1.8725,0.877787728,0.45,2
23,0,23,False,1,1,1.12,1.12,0.71,1.1,1.3,0.0,2.027412322,-2.321642857,0.844506677,0.507142857,2
24,0,24,False,1,1,1.12,1.12,1.11,1.1,2.0,0.0,2.323654714,-2.867357143,0.70992394,0.792857143,2
25,0,25,False,1,1,1.12,1.12,0.9,1.1,1.23,0.0,2.25865608,-2.741857143,0.774743082,0.642857143,2
26,0,26,False,1,1,1.12,1.12,0.8,1.1,1.78,0.0,2.147680955,-2.315428571,0.809958677,0.571428571,2
27,0,27,False,1,1,1.12,1.12,0.63,1.1,2.2,0.0,2.009082787,-1.7965,0.877787728,0.45,2
28,0,28,False,1,1,1.12,1.12,1.38,1.1,0.82,0.0,2.723507129,-3.896714286,0.640974492,0.985714286,2
29,0,29,False,1,1,1.12,1.12,1.03,1.1,1.1,0.0,2.376509378,-3.062214286,0.733295921,0.735714286,1
30,0,30,False,1,1,1.12,1.12,0.76,1.1,0.98,0.0,2.095547886,-2.552857143,0.824957911,0.542857143,1
31,0,31,False,1,1,1.12,1.12,0.86,1.1,1.27,0.0,2.209114963,-2.643285714,0.788455349,0.614285714,2
32,0,32,False,1,1,1.12,1.12,0.72,1.1,1.31,0.0,2.046489492,-2.338285714,0.840523155,0.514285714,3
33,0,33,False,1,1,1.12,1.12,0.62,1.1,1.55,0.0,2.16999357,-2.035857143,0.882133212,0.442857143,2
34,0,34,False,1,1,1.12,1.12,0.62,1.1,2.16,0.0,1.7893,-1.791857143,0.882133212,0.442857143,2
35,0,35,False,1,1,1.12,1.12,1.02,1.1,0.93,0.0,2.425828064,-3.109571429,0.73632607,0.728571429,1
36,0,36,False,1,1,1.12,1.12,0.68,1.1,1.6,0.0,1.955055241,-2.139714286,0.856687062,0.485714286,2
37,0,37,False,1,1,1.12,1.12,0.98,1.1,1.14,0.0,2.320966993,-2.943,0.748701298,0.7,1
38,0,38,False,1,1,1.12,1.12,0.59,1.1,1.91,0.0,2.103725488,-1.829928571,0.895431703,0.421428571,2
39,0,39,False,1,1,1.12,1.12,0.86,1.1,1.36,0.0,0.0,-2.607285714,0.788455349,0.614285714,1
40,0,40,False,1,1,1.12,1.12,0.57,1.1,2.2,0.0,1.954921624,-1.672642857,0.90452238,0.407142857,2
41,0,41,False,1,1,1.12,1.12,0.91,1.1,1.5,0.0,0.0,-2.6545,0.771389216,0.65,1
42,0,42,False,1,1,1.12,1.12,0.99,1.1,2.33,0.0,2.362863567,-2.487642857,0.745568656,0.707142857,2
43,0,43,False,1,1,1.12,1.12,0.75,1.1,2.2,0.0,2.04250519,-2.044214286,0.828794925,0.535714286,2
44,0,44,False,1,1,1.12,1.12,0.97,1.1,1.13,0.0,0.0,-2.926357143,0.751860375,0.692857143,1
45,0,45,False,1,1,1.12,1.12,0.92,1.1,1.13,0.0,2.340791612,-2.823142857,0.768064262,0.657142857,1
46,0,46,False,1,1,1.12,1.12,0.67,1.1,2.28,0.0,2.64390067,-1.847071429,0.860825647,0.478571429,2
47,0,47,False,1,1,1.12,1.12,0.83,1.1,1.28,0.0,2.226583834,-2.577357143,0.799062372,0.592857143,1
48,0,48,False,1,1,1.12,1.12,1.52,1.1,0.82,0.0,2.825996661,-4.185714286,0.610242839,1.085714286,2
49,0,49,False,1,1,1.12,1.12,0.57,1.1,1.9,0.0,1.98797081,-1.792642857,0.90452238,0.407142857,2
50,0,50,False,1,1,1.12,1.12,0.61,1.1,2.28,0.0,2.001424352,-1.723214286,0.886521935,0.435714286,2
51,0,51,False,1,1,1.12,1.12,0.62,1.1,2.2,0.0,2.018753288,-1.775857143,0.882133212,0.442857143,2
52,0,52,False,1,1,1.12,1.12,0.68,1.1,2.05,0.0,2.075848892,-1.959714286,0.856687062,0.485714286,2
53,0,53,False,1,1,1.12,1.12,0.75,1.1,1.36,0.0,2.074614707,-2.380214286,0.828794925,0.535714286,2
54,0,54,False,1,1,1.12,1.12,0.4,1.1,1.9,0.0,1.783360927,-1.441714286,0.989949494,0.285714286,4
55,0,55,False,1,1,1.12,1.12,0.96,1.1,1.17,0.0,2.311832729,-2.889714286,0.755046224,0.685714286,2
56,0,56,False,1,1,1.12,1.12,0.69,1.1,1.96,0.0,2.052287148,-2.016357143,0.852588081,0.492857143,2
57,0,57,False,1,1,1.12,1.12,1.18,1.1,0.95,0.0,2.452968591,-3.431857143,0.690662437,0.842857143,1
58,0,58,False,1,1,1.12,1.12,0.68,1.1,1.5,0.0,1.956808277,-2.179714286,0.856687062,0.485714286,2
59,0,59,False,1,1,1.12,1.12,0.84,1.1,1.2,0.0,2.256932729,-2.63,0.795495129,0.6,2
60,0,60,False,1,1,1.12,1.12,0.6,1.1,1.9,0.0,0.0,-1.854571429,0.890954544,0.428571429,2
61,0,61,False,1,1,1.12,1.12,0.77,1.1,2.1,0.0,2.115491508,-2.1255,0.821156262,0.55,1
62,0,62,False,1,1,1.12,1.12,0.94,1.1,1.3,0.0,2.246056043,-2.796428571,0.761499611,0.671428571,1
63,0,63,False,1,1,1.12,1.12,0.71,1.1,1.54,0.0,1.927848949,-2.225642857,0.844506677,0.507142857,2
64,0,64,False,1,1,1.12,1.12,1.2,1.1,1.62,0.0,2.297683747,-3.205142857,0.685349649,0.857142857,2
65,0,65,False,1,1,1.12,1.12,0.96,1.1,1.25,0.0,2.119700811,-2.857714286,0.755046224,0.685714286,2
66,0,66,False,1,1,1.12,1.12,0.85,1.1,1.38,0.0,2.0478,-2.578642857,0.791959595,0.607142857,1
67,0,67,False,1,1,1.12,1.12,0.64,1.1,1.63,0.0,1.758039163,-2.045142857,0.873484847,0.457142857,2
68,0,68,False,1,1,1.12,1.12,0.63,1.1,2.36,0.0,1.7456,-1.7325,0.877787728,0.45,2
69,0,69,False,1,1,1.12,1.12,0.9,1.1,1.22,0.0,2.235124352,-2.745857143,0.774743082,0.642857143,2
70,0,70,False,1,1,1.12,1.12,0.95,1.1,1.1,0.0,2.223980699,-2.897071429,0.758259187,0.678571429,2
71,0,71,False,1,1,1.12,1.12,0.74,1.1,1.65,0.0,2.096140752,-2.243571429,0.832667798,0.528571429,2
72,0,72,False,1,1,1.12,1.12,0.72,1.1,1.33,0.0,2.043777903,-2.330285714,0.840523155,0.514285714,2
74,1,0,False,1,1,1.28,0.95,1.12,1.93,1.1,2.76145322,0.0,-3.049714286,0.75200245,0.8,2
73,1,1,False,0,0,1.28,0.95,0.95,1.93,1.93,2.76145322,2.488353231,-2.36975,0.806402627,0.678571429,1
75,1,2,False,0,0,1.28,0.95,0.54,1.93,1.61,2.76145322,1.892894405,-1.791214286,0.976827925,0.385714286,2
76,1,3,False,2,6,1.28,0.95,0.46,1.93,2.18,2.76145322,1.932227032,-1.389214286,1.018842029,0.328571429,4
77,1,4,False,1,1,1.28,0.95,0.93,1.93,2.54,2.76145322,2.31369847,-2.055535714,0.813324538,0.664285714,1
78,1,5,False,4,4,0.75,0.95,0.27,1.93,2.04,2.76145322,1.624661665,-0.852321429,0.910347054,0.192857143,1
79,1,6,False,0,0,1.28,0.95,1.35,1.93,0.89,2.76145322,2.64009357,-3.552321429,0.689107699,0.964285714,2
80,1,7,False,0,0,1.28,0.95,0.45,1.93,1.57,2.76145322,1.803349248,-1.650392857,1.024349283,0.321428571,1
81,1,8,False,2,6,1.28,0.95,0.76,1.93,2.02,2.76145322,2.215655462,-1.992714286,0.877336191,0.542857143,3
82,1,9,False,0,0,1.28,0.95,1.0,1.93,1.0,2.76145322,2.318139449,-2.883285714,0.789602572,0.714285714,3
83,1,10,False,0,0,1.28,0.95,0.95,1.93,1.69,2.76145322,2.286435201,-2.479464286,0.806402627,0.678571429,1
84,1,11,False,0,0,1.28,0.95,0.94,1.93,1.12,2.76145322,2.268642439,-2.722357143,0.809848792,0.671428571,2
85,1,12,False,0,0,1.28,0.95,0.63,1.93,1.88,2.76145322,1.930310969,-1.826892857,0.933520283,0.45,2
86,1,13,False,2,6,1.28,0.95,0.49,1.93,1.66,2.76145322,1.960053288,-1.679964286,1.002669933,0.35,2
87,1,14,False,0,0,1.28,0.95,1.67,1.93,0.79,2.76145322,3.009747218,-4.16375,0.617278884,1.192857143,1
88,1,15,False,0,0,1.28,0.95,0.68,1.93,1.9,2.76145322,2.005573846,-1.906142857,0.911079891,0.485714286,2
89,1,16,False,0,0,1.28,0.95,0.99,1.93,1.22,2.76145322,2.255580699,-2.765035714,0.792906349,0.707142857,1
90,1,17,False,0,0,1.28,0.95,0.89,1.93,1.24,2.76145322,2.250676638,-2.579107143,0.82753108,0.635714286,1
91,1,18,False,0,0,1.28,0.95,1.06,1.93,1.2,2.76145322,2.354367494,-2.897928571,0.770343973,0.757142857,2
92,1,19,False,0,0,1.28,0.95,0.67,1.93,1.83,2.76145322,1.999521816,-1.920464286,0.915481243,0.478571429,2
93,1,20,False,0,0,1.28,0.95,0.62,1.93,1.81,2.76145322,1.974643898,-1.841214286,0.93814167,0.442857143,2
94,1,21,False,0,0,1.28,0.95,0.94,1.93,1.2,2.76145322,2.28415608,-2.685785714,0.809848792,0.671428571,1
95,1,22,False,0,0,1.28,0.95,0.63,1.93,2.01,2.76145322,1.899964183,-1.767464286,0.933520283,0.45,2
96,1,23,False,0,0,1.28,0.95,0.71,1.93,1.3,2.76145322,2.027412322,-2.233464286,0.898126149,0.507142857,2
97,1,24,False,0,0,1.28,0.95,1.11,1.93,2.0,2.76145322,2.323654714,-2.620607143,0.754998476,0.792857143,1
98,1,25,False,0,0,1.28,0.95,0.9,1.93,1.23,2.76145322,2.25865608,-2.601357143,0.823933119,0.642857143,1
99,1,26,False,0,0,1.28,0.95,0.8,1.93,1.78,2.76145322,2.147680955,-2.173142857,0.861384624,0.571428571,1
100,1,27,False,2,6,1.28,0.95,0.57,1.93,2.2,2.76145322,2.009082787,-1.574535714,0.961952372,0.407142857,3
101,1,28,False,0,0,1.28,0.95,1.38,1.93,0.82,2.76145322,2.723507129,-3.637357143,0.681671285,0.985714286,1
102,1,29,False,0,0,1.28,0.95,1.03,1.93,1.1,2.76145322,2.376509378,-2.890607143,0.779854392,0.735714286,2
103,1,30,False,0,0,1.28,0.95,0.76,1.93,0.98,2.76145322,2.095547886,-2.468142857,0.877336191,0.542857143,1
104,1,31,False,0,0,1.28,0.95,0.86,1.93,1.27,2.76145322,2.209114963,-2.512357143,0.838516006,0.614285714,1
105,1,32,False,0,0,1.28,0.95,0.72,1.93,1.31,2.76145322,2.046489492,-2.246571429,0.893889705,0.514285714,1
106,1,33,False,0,0,1.28,0.95,0.62,1.93,1.55,2.76145322,2.16999357,-1.960071429,0.93814167,0.442857143,2
107,1,34,False,2,6,1.28,0.95,0.61,1.93,2.16,2.76145322,1.7893,-1.663535714,0.942809042,0.435714286,1
108,1,35,False,0,0,1.28,0.95,1.02,1.93,0.93,2.76145322,2.425828064,-2.950642857,0.783076931,0.728571429,1
109,1,36,True,2,6,1.28,0.95,0.64,1.93,1.6,2.76145322,1.955055241,-1.972571429,0.928944203,0.457142857,3
110,1,37,False,0,0,1.28,0.95,0.98,1.93,1.14,2.76145322,2.320966993,-2.783928571,0.796237888,0.7,1
111,1,38,False,0,0,1.28,0.95,0.59,1.93,1.91,2.76145322,2.103725488,-1.742464286,0.952284509,0.421428571,2
112,1,39,False,1,1,1.28,0.95,0.86,1.93,1.36,2.76145322,0.0,-2.471214286,0.838516006,0.614285714,2
113,1,40,False,1,1,1.28,0.95,0.57,1.93,2.2,2.76145322,1.954921624,-1.574535714,0.961952372,0.407142857,3
114,1,41,False,1,1,1.28,0.95,0.91,1.93,1.5,2.76145322,0.0,-2.495607143,0.820366309,0.65,3
115,1,42,False,0,0,1.28,0.95,0.99,1.93,2.33,2.76145322,2.362863567,-2.257607143,0.792906349,0.707142857,2
116,1,43,False,0,0,1.28,0.95,0.75,1.93,2.2,2.76145322,2.04250519,-1.89275,0.881416825,0.535714286,2
117,1,44,False,1,1,1.28,0.95,0.97,1.93,1.13,2.76145322,0.0,-2.770821429,0.799597542,0.692857143,1
118,1,45,False,0,0,1.28,0.95,0.92,1.93,1.13,2.76145322,2.340791612,-2.682428571,0.816830247,0.657142857,2
119,1,46,False,1,1,1.28,0.95,0.67,1.93,2.28,2.76145322,2.64390067,-1.71475,0.915481243,0.478571429,2
120,1,47,False,1,1,1.28,0.95,0.83,1.93,1.28,2.76145322,2.226583834,-2.45475,0.84979649,0.592857143,2
121,1,48,False,0,0,1.28,0.95,1.52,1.93,0.82,2.76145322,2.825996661,-3.884857143,0.648988416,1.085714286,1
122,1,49,False,2,6,1.28,0.95,0.58,1.93,1.9,2.76145322,1.98797081,-1.729357143,0.957094027,0.414285714,1
123,1,50,False,0,0,1.28,0.95,0.61,1.93,2.28,2.76145322,2.001424352,-1.608678571,0.942809042,0.435714286,2
124,1,51,False,2,6,1.28,0.95,0.57,1.93,2.2,2.76145322,2.018753288,-1.574535714,0.961952372,0.407142857,3
125,1,52,True,2,6,1.28,0.95,0.6,1.93,2.05,2.76145322,2.075848892,-1.696142857,0.947523087,0.428571429,2
126,1,53,False,0,0,1.28,0.95,0.75,1.93,1.36,2.76145322,2.074614707,-2.27675,0.881416825,0.535714286,2
127,1,54,False,0,0,1.28,0.95,0.4,1.93,1.9,2.76145322,1.783360927,-1.411142857,1.05280343,0.285714286,4
128,1,55,False,0,0,1.28,0.95,0.96,1.93,1.17,2.76145322,2.311832729,-2.734857143,0.802985667,0.685714286,1
129,1,56,False,0,0,1.28,0.95,0.69,1.93,1.96,2.76145322,2.052287148,-1.896392857,0.906720657,0.492857143,2
130,1,57,False,0,0,1.28,0.95,1.18,1.93,0.95,2.76145322,2.452968591,-3.224357143,0.734514021,0.842857143,2
131,1,58,True,2,6,1.28,0.95,0.64,1.93,1.5,2.76145322,1.956808277,-2.018285714,0.928944203,0.457142857,3
132,1,59,False,0,0,1.28,0.95,0.84,1.93,1.2,2.76145322,2.256932729,-2.509,0.846002756,0.6,1
133,1,60,False,1,1,1.28,0.95,0.6,1.93,1.9,2.76145322,0.0,-1.764714286,0.947523087,0.428571429,3
134,1,61,False,0,0,1.28,0.95,0.77,1.93,2.1,2.76145322,2.115491508,-1.973821429,0.873293168,0.55,2
135,1,62,False,0,0,1.28,0.95,0.94,1.93,1.3,2.76145322,2.246056043,-2.640071429,0.809848792,0.671428571,1
136,1,63,False,0,0,1.28,0.95,0.71,1.93,1.54,2.76145322,1.927848949,-2.12375,0.898126149,0.507142857,2
137,1,64,False,0,0,1.28,0.95,1.2,1.93,1.62,2.76145322,2.297683747,-2.953428571,0.728863913,0.857142857,1
138,1,65,False,0,0,1.28,0.95,0.96,1.93,1.25,2.76145322,2.119700811,-2.698285714,0.802985667,0.685714286,1
139,1,66,False,2,6,1.28,0.95,0.76,1.93,1.38,2.76145322,2.0478,-2.285285714,0.877336191,0.542857143,3
140,1,67,True,2,6,1.28,0.95,0.54,1.93,1.63,2.76145322,1.758039163,-1.782071429,0.976827925,0.385714286,4
141,1,68,False,2,6,1.28,0.95,0.62,1.93,2.36,2.76145322,1.7456,-1.589785714,0.93814167,0.442857143,1
142,1,69,False,0,0,1.28,0.95,0.9,1.93,1.22,2.76145322,2.235124352,-2.605928571,0.823933119,0.642857143,1
143,1,70,False,0,0,1.28,0.95,0.95,1.93,1.1,2.76145322,2.223980699,-2.749178571,0.806402627,0.678571429,2
144,1,71,False,0,0,1.28,0.95,0.74,1.93,1.65,2.76145322,2.096140752,-2.1265,0.885535595,0.528571429,1
145,1,72,False,0,0,1.28,0.95,0.72,1.93,1.33,2.76145322,2.043777903,-2.237428571,0.893889705,0.514285714,2
147,2,0,False,1,1,0.54,0.54,1.12,1.61,1.1,2.186788809,0.0,-2.559285714,0.544359982,0.8,2
148,2,1,False,4,4,0.54,0.54,0.75,1.61,1.93,2.186788809,2.488353231,-1.702821429,0.638040537,0.535714286,2
146,2,2,False,4,4,0.54,0.54,0.54,1.61,1.61,2.186788809,1.892894405,-1.369285714,0.707106781,0.385714286,1
149,2,3,False,4,4,0.54,0.54,0.58,1.61,2.18,2.186788809,1.932227032,-1.334642857,0.692821796,0.414285714,1
150,2,4,False,1,1,0.54,0.54,0.93,1.61,2.54,2.186788809,2.31369847,-1.923964286,0.588749852,0.664285714,1
151,2,5,False,4,4,0.54,0.54,0.27,1.61,2.04,2.186788809,1.624661665,-0.778178571,0.821429434,0.192857143,1
152,2,6,False,0,0,0.54,0.54,1.35,1.61,0.89,2.186788809,2.64009357,-3.032678571,0.498831693,0.964285714,2
153,2,7,False,0,0,0.54,0.54,0.45,1.61,1.57,2.186788809,1.803349248,-1.207607143,0.741506571,0.321428571,1
154,2,8,False,0,0,0.54,0.54,0.9,1.61,2.02,2.186788809,2.215655462,-1.967785714,0.596429198,0.642857143,2
155,2,9,False,0,0,0.54,0.54,1.0,1.61,1.0,2.186788809,2.318139449,-2.352714286,0.571577981,0.714285714,2
156,2,10,False,0,0,0.54,0.54,0.95,1.61,1.69,2.186788809,2.286435201,-2.125535714,0.583739215,0.678571429,2
157,2,11,False,4,4,0.54,0.54,1.01,1.61,1.12,2.186788809,2.268642439,-2.348392857,0.569206289,0.721428571,2
158,2,12,False,4,4,0.54,0.54,0.61,1.61,1.88,2.186788809,1.930310969,-1.448964286,0.682481172,0.435714286,1
159,2,13,False,4,4,0.54,0.54,0.62,1.61,1.66,2.186788809,1.960053288,-1.510214286,0.679102552,0.442857143,1
160,2,14,False,0,0,0.54,0.54,1.67,1.61,0.79,2.186788809,3.009747218,-3.65425,0.446836207,1.192857143,1
161,2,15,False,4,4,0.54,0.54,0.54,1.61,1.9,2.186788809,2.005573846,-1.313357143,0.707106781,0.385714286,1
162,2,16,False,4,4,0.54,0.54,0.91,1.61,1.22,2.186788809,2.255580699,-2.140892857,0.593847253,0.65,3
163,2,17,False,4,4,0.54,0.54,0.89,1.61,1.24,2.186788809,2.250676638,-2.099392857,0.599033692,0.635714286,2
164,2,18,False,4,4,0.54,0.54,0.95,1.61,1.2,2.186788809,2.354367494,-2.220035714,0.583739215,0.678571429,2
165,2,19,False,4,4,0.54,0.54,0.65,1.61,1.83,2.186788809,1.999521816,-1.533892857,0.669164466,0.464285714,1
166,2,20,False,4,4,0.54,0.54,0.62,1.61,1.81,2.186788809,1.974643898,-1.481285714,0.679102552,0.442857143,1
167,2,21,False,4,4,0.54,0.54,0.94,1.61,1.2,2.186788809,2.28415608,-2.201214286,0.586233827,0.671428571,3
168,2,22,False,0,0,0.54,0.54,0.63,1.61,2.01,2.186788809,1.899964183,-1.461535714,0.675757219,0.45,1
169,2,23,False,4,4,0.54,0.54,0.71,1.61,1.3,2.186788809,2.027412322,-1.749035714,0.650136093,0.507142857,1
170,2,24,False,0,0,0.54,0.54,1.11,1.61,2.0,2.186788809,2.323654714,-2.366892857,0.546528747,0.792857143,2
171,2,25,False,4,4,0.54,0.54,0.9,1.61,1.23,2.186788809,2.25865608,-2.120142857,0.596429198,0.642857143,3
172,2,26,False,4,4,0.54,0.54,0.8,1.61,1.78,2.186788809,2.147680955,-1.825857143,0.623539616,0.571428571,2
173,2,27,False,4,4,0.54,0.54,0.68,1.61,2.2,2.186788809,2.009082787,-1.519,0.659513056,0.485714286,1
174,2,28,False,0,0,0.54,0.54,1.38,1.61,0.82,2.186788809,2.723507129,-3.102642857,0.493448617,0.985714286,2
175,2,29,False,4,4,0.54,0.54,1.03,1.61,1.1,2.186788809,2.376509378,-2.389892857,0.564521463,0.735714286,2
176,2,30,False,0,0,0.54,0.54,0.76,1.61,0.98,2.186788809,2.095547886,-1.904857143,0.635086646,0.542857143,1
177,2,31,False,4,4,0.54,0.54,0.86,1.61,1.27,2.186788809,2.209114963,-2.037142857,0.606985467,0.614285714,3
178,2,32,False,0,0,0.54,0.54,0.72,1.61,1.31,2.186788809,2.046489492,-1.765928571,0.647069413,0.514285714,1
179,2,33,False,4,4,0.54,0.54,0.65,1.61,1.55,2.186788809,2.16999357,-1.587892857,0.669164466,0.464285714,1
180,2,34,False,4,4,0.54,0.54,0.69,1.61,2.16,2.186788809,1.7893,-1.545535714,0.656357491,0.492857143,1
181,2,35,False,0,0,0.54,0.54,1.02,1.61,0.93,2.186788809,2.425828064,-2.403857143,0.566854196,0.728571429,2
182,2,36,False,4,4,0.54,0.54,0.72,1.61,1.6,2.186788809,1.955055241,-1.71,0.647069413,0.514285714,1
183,2,37,False,4,4,0.54,0.54,0.98,1.61,1.14,2.186788809,2.320966993,-2.288071429,0.576381158,0.7,2
184,2,38,False,4,4,0.54,0.54,0.6,1.61,1.91,2.186788809,2.103725488,-1.424357143,0.685893578,0.428571429,1
185,2,39,False,1,1,0.54,0.54,0.86,1.61,1.36,2.186788809,0.0,-2.019785714,0.606985467,0.614285714,2
186,2,40,False,1,1,0.54,0.54,0.57,1.61,2.2,2.186788809,1.954921624,-1.311964286,0.696338658,0.407142857,1
187,2,41,False,1,1,0.54,0.54,0.91,1.61,1.5,2.186788809,0.0,-2.086892857,0.593847253,0.65,1
188,2,42,False,0,0,0.54,0.54,0.99,1.61,2.33,2.186788809,2.362863567,-2.077392857,0.573969521,0.707142857,2
189,2,43,False,4,4,0.54,0.54,0.76,1.61,2.2,2.186788809,2.04250519,-1.669571429,0.635086646,0.542857143,1
190,2,44,False,1,1,0.54,0.54,0.97,1.61,1.13,2.186788809,0.0,-2.271178571,0.578813146,0.692857143,2
191,2,45,False,4,4,0.54,0.54,0.99,1.61,1.13,2.186788809,2.340791612,-2.308821429,0.573969521,0.707142857,2
192,2,46,False,1,1,0.54,0.54,0.67,1.61,2.28,2.186788809,2.64390067,-1.48475,0.662699109,0.478571429,1
193,2,47,False,1,1,0.54,0.54,0.83,1.61,1.28,2.186788809,2.226583834,-1.97875,0.615151191,0.592857143,2
194,2,48,False,0,0,0.54,0.54,1.52,1.61,0.82,2.186788809,2.825996661,-3.366142857,0.469790122,1.085714286,1
195,2,49,False,4,4,0.54,0.54,0.63,1.61,1.9,2.186788809,1.98797081,-1.48275,0.675757219,0.45,1
196,2,50,False,4,4,0.54,0.54,0.67,1.61,2.28,2.186788809,2.001424352,-1.48475,0.662699109,0.478571429,1
197,2,51,False,4,4,0.54,0.54,0.68,1.61,2.2,2.186788809,2.018753288,-1.519,0.659513056,0.485714286,1
198,2,52,False,4,4,0.54,0.54,0.76,1.61,2.05,2.186788809,2.075848892,-1.6985,0.635086646,0.542857143,1
199,2,53,False,4,4,0.54,0.54,0.75,1.61,1.36,2.186788809,2.074614707,-1.81275,0.638040537,0.535714286,1
200,2,54,False,0,0,0.54,0.54,0.4,1.61,1.9,2.186788809,1.783360927,-1.049857143,0.762103975,0.285714286,1
201,2,55,False,4,4,0.54,0.54,0.96,1.61,1.17,2.186788809,2.311832729,-2.244642857,0.581265744,0.685714286,2
202,2,56,False,0,0,0.54,0.54,0.69,1.61,1.96,2.186788809,2.052287148,-1.584107143,0.656357491,0.492857143,1
203,2,57,False,0,0,0.54,0.54,1.18,1.61,0.95,2.186788809,2.452968591,-2.701142857,0.531700448,0.842857143,2
204,2,58,False,4,4,0.54,0.54,0.72,1.61,1.5,2.186788809,1.956808277,-1.729285714,0.647069413,0.514285714,1
205,2,59,False,4,4,0.54,0.54,0.92,1.61,1.2,2.186788809,2.256932729,-2.163571429,0.591287567,0.657142857,3
206,2,60,False,1,1,0.54,0.54,0.6,1.61,1.9,2.186788809,0.0,-1.426285714,0.685893578,0.428571429,1
207,2,61,False,0,0,0.54,0.54,0.77,1.61,2.1,2.186788809,2.115491508,-1.707678571,0.632159979,0.55,1
208,2,62,False,0,0,0.54,0.54,0.94,1.61,1.3,2.186788809,2.246056043,-2.181928571,0.586233827,0.671428571,1
209,2,63,False,4,4,0.54,0.54,0.67,1.61,1.54,2.186788809,1.927848949,-1.627464286,0.662699109,0.478571429,1
210,2,64,False,4,4,0.54,0.54,0.89,1.61,1.62,2.186788809,2.297683747,-2.026107143,0.599033692,0.635714286,2
211,2,65,False,4,4,0.54,0.54,0.88,1.61,1.25,2.186788809,2.119700811,-2.078642857,0.601661033,0.628571429,3
212,2,66,False,4,4,0.54,0.54,1.03,1.61,1.38,2.186788809,2.0478,-2.335892857,0.564521463,0.735714286,2
213,2,67,False,4,4,0.54,0.54,0.64,1.61,1.63,2.186788809,1.758039163,-1.553642857,0.672444684,0.457142857,2
214,2,68,False,4,4,0.54,0.54,0.66,1.61,2.36,2.186788809,1.7456,-1.4505,0.665916095,0.471428571,1
215,2,69,False,4,4,0.54,0.54,0.9,1.61,1.22,2.186788809,2.235124352,-2.122071429,0.596429198,0.642857143,3
216,2,70,False,4,4,0.54,0.54,0.87,1.61,1.1,2.186788809,2.223980699,-2.08875,0.604311522,0.621428571,2
217,2,71,False,0,0,0.54,0.54,0.74,1.61,1.65,2.186788809,2.096140752,-1.738,0.641022035,0.528571429,1
