Method,Models,Distant,Coordinate
C,"(1, 4)",10.902236681899248,"(37.49898844523602, 127.08220672607422)"
C,"(1, 2)",10.903389612620645,"(37.49898844523602, 127.08185645999994)"
E,"(1, 0)",10.90495719843336,"(37.49890070670436, 127.0866008009594)"
E,"(1, 4)",10.906350515545503,"(37.49890070670436, 127.08467102050781)"
E,"(1, 2)",10.915056501923033,"(37.49890070670436, 127.0813240199999)"
E,"(1, 3)",10.91756838019298,"(37.49890070670436, 127.09259974873316)"
C,"(0, 1)",11.236383148116678,"(37.596960191850684, 126.95911108644515)"
C,"(2, 1)",11.237268054020564,"(37.59576908400002, 126.95911108644515)"
C,"(4, 1)",11.245532221453347,"(37.592960357666016, 126.95911108644515)"
E,"(0, 1)",11.252152218264122,"(37.59630343903702, 126.95893544413474)"
D,"(0, 1)",11.253515209963904,"(37.59593922687352, 126.95892414614038)"
E,"(2, 1)",11.255463387258075,"(37.59447679100003, 126.95893544413474)"
D,"(4, 1)",11.258754489779458,"(37.600318908691406, 126.95892414614038)"
D,"(2, 1)",11.26005371518165,"(37.59341822800003, 126.95892414614038)"
E,"(4, 1)",11.266296919717163,"(37.59191131591797, 126.95893544413474)"
D,"(3, 1)",11.814252723936265,"(37.629403006767234, 126.95892414614038)"
E,"(3, 1)",12.096745251763885,"(37.636983444001636, 126.95893544413474)"
B,"(3, 0)",12.273610934056078,"(37.53322755983046, 126.9729652769475)"
C,"(3, 1)",12.332923412871459,"(37.64275926784663, 126.95911108644515)"
A,"(1, 1)",12.340629026213943,"(37.50944461135705, 127.00057891190875)"
B,"(0, 0)",13.202029087121605,"(37.51967502350225, 126.9729652769475)"
B,"(1, 0)",13.33757314543816,"(37.51781668830443, 126.9729652769475)"
B,"(2, 3)",15.394313547576143,"(37.572514968000014, 126.91469286729493)"
B,"(4, 3)",15.42359931834489,"(37.62311935424805, 126.91469286729493)"
D,"(1, 1)",15.569088043409634,"(37.50027632293071, 126.95892414614038)"
B,"(4, 1)",15.575461733936022,"(37.62311935424805, 126.91293769871334)"
C,"(1, 1)",15.656558044727811,"(37.49898844523602, 126.95911108644515)"
E,"(1, 1)",15.674472721882653,"(37.49890070670436, 126.95893544413474)"
B,"(4, 2)",15.886445804129105,"(37.62311935424805, 126.9093453700001)"
B,"(2, 1)",16.156624025666222,"(37.550530333000005, 126.91293769871334)"
B,"(3, 3)",16.731713468778153,"(37.53322755983046, 126.91469286729493)"
B,"(0, 2)",16.787303840200952,"(37.51967502350225, 126.92305896000009)"
B,"(3, 1)",16.871974261353742,"(37.53322755983046, 126.91293769871334)"
B,"(2, 2)",17.140049283630628,"(37.55434175600001, 126.89974312000011)"
B,"(0, 3)",17.42486123414284,"(37.51967502350225, 126.91469286729493)"
B,"(1, 3)",17.527872013293965,"(37.51781668830443, 126.91469286729493)"
B,"(0, 1)",17.55961063695778,"(37.51967502350225, 126.91293769871334)"
B,"(1, 1)",17.661838847660896,"(37.51781668830443, 126.91293769871334)"
B,"(3, 2)",17.967101363076868,"(37.53322755983046, 126.89933432000011)"
B,"(1, 2)",19.194163104223584,"(37.51781668830443, 126.89314511000016)"
B,"(4, 4)",22.203654345937377,"(37.62311935424805, 126.83675384521484)"
B,"(2, 4)",22.284439960342162,"(37.56623956399999, 126.83675384521484)"
B,"(3, 4)",23.13813537875224,"(37.53322755983046, 126.83675384521484)"
B,"(0, 4)",23.645196026221605,"(37.51967502350225, 126.83675384521484)"
B,"(1, 4)",23.72134417730017,"(37.51781668830443, 126.83675384521484)"
