건물,호선,역,주소,cor
스타벅스,2.0,을지로입구,서울특별시 중구 을지로 50,"X :126.983420, Y :37.5656553"
다이소,2.0,을지로입구,서울특별시 중구 명동길 43,"X :126.984722, Y :37.5639887"
이디야,2.0,을지로입구,서울특별시 중구 명동 다동길 46,"X :126.982038, Y :37.5679076"
올리브영,2.0,을지로입구,서울특별시 중구 명동3길 36,"X :126.983714, Y :37.5653310"
스타벅스,2.0,을지로3가,서울특별시 중구 수표로 34,"X :126.990336, Y :37.5644578"
다이소,2.0,을지로3가,서울특별시 중구 명동길 43,"X :126.984722, Y :37.5639887"
이디야,2.0,을지로3가,서울특별시 중구 수표로 45,"X :126.989656, Y :37.5654398"
올리브영,2.0,을지로3가,서울특별시 중구 명동3길 36,"X :126.983714, Y :37.5653310"
스타벅스,2.0,을지로4가,서울특별시 중구 을지로 170,"X :126.997274, Y :37.5660801"
다이소,2.0,을지로4가,서울특별시 종로구 창신동 율곡로 309,"X :127.009952, Y :37.5702694"
이디야,2.0,을지로4가,서울특별시 중구 수표로 45,"X :126.989656, Y :37.5654398"
올리브영,2.0,을지로4가,서울특별시 중구 명동3길 36,"X :126.983714, Y :37.5653310"
스타벅스,2.0,동역사,서울특별시 중구 장충단로 229,"X :127.007189, Y :37.5652060"
다이소,2.0,동역사,서울특별시 종로구 창신동 율곡로 309,"X :127.009952, Y :37.5702694"
이디야,2.0,동역사,광희동1가 189-2번지 1층 중구 서울특별시 KR,"X :127.006487, Y :37.5646114"
올리브영,2.0,동역사,서울특별시 중구 장충단로 251,"X :127.008027, Y :37.5671611"
스타벅스,2.0,신당,서울특별시 중구 다산로 258,"X :127.016618, Y :37.5660161"
다이소,2.0,신당,서울특별시 중구 신당동 퇴계로 438,"X :127.020194, Y :37.5654299"
이디야,2.0,신당,서울특별시 중구 황학동 2480,"X :127.022300, Y :37.5655737"
올리브영,2.0,신당,서울특별시 중구 흥인동 86,"X :127.016606, Y :37.5657818"
스타벅스,2.0,상왕십리,서울특별시 성동구 왕십리로 382,"X :127.027982, Y :37.5651131"
다이소,2.0,상왕십리,서울특별시 성동구 하왕십리동 890-181,"X :127.028638, Y :37.5642840"
이디야,2.0,상왕십리,서울특별시 성동구 하왕십리동 무학봉15길 27,"X :127.030177, Y :37.5636620"
올리브영,2.0,상왕십리,서울특별시 성동구 하왕십리동 왕십리로 382,"X :127.027982, Y :37.5651131"
스타벅스,2.0,왕십리,성동구 도선동 58-1,"X :127.033878, Y :37.5627420"
다이소,2.0,왕십리,서울특별시 성동구 행당동 왕십리광장로 17,"X :127.038416, Y :37.5610558"
이디야,2.0,왕십리,서울특별시 성동구 행당동 281-3,"X :127.034556, Y :37.5613633"
올리브영,2.0,왕십리,서울특별시 성동구 행당동 엔터식스,"X :우편번호없음, Y :x좌표없음"
스타벅스,2.0,한양대,서울특별시 성동구 행당동 왕십리로 225,"X :127.042092, Y :37.5571353"
