건물,호선,역,주소,cor
다이소,4.0,충무로,서울특별시 중구 명동길 43,"X :126.984722, Y :37.5639887"
이디야,4.0,충무로,서울특별시 중구 필동 퇴계로 188,"X :126.992532, Y :37.5608090"
올리브영,4.0,충무로,서울특별시 중구 필동2가 37-10,"X :126.996391, Y :37.5615210"
스타벅스,4.0,명동,서울특별시 중구 퇴계로 101,"X :126.983081, Y :37.5608440"
다이소,4.0,명동,서울특별시 중구 명동길 43,"X :126.984722, Y :37.5639887"
이디야,4.0,명동,서울특별시 중구 퇴계로 103,"X :126.983194, Y :37.5608530"
올리브영,4.0,명동,서울특별시 중구 퇴계로 127,"X :126.985832, Y :37.5611327"
스타벅스,4.0,회현,서울특별시 중구 회현동1가 퇴계로 72,"X :126.980829, Y :37.5591677"
다이소,4.0,회현,서울특별시 중구 회현동1가 199-6,"X :126.979414, Y :37.5607082"
이디야,4.0,회현,서울특별시 중구 퇴계로 72,"X :126.980829, Y :37.5591677"
올리브영,4.0,회현,서울특별시 중구 남대문로5가 541,"X :126.973735, Y :37.5554902"
스타벅스,4.0,서울역,서울특별시 용산구 동자동 43-205 서울역(철도역,"X :126.971709, Y :37.5548230"
다이소,4.0,서울역,서울특별시 용산구 한강대로 405,"X :126.971042, Y :37.5523812"
이디야,4.0,서울역,서울특별시 용산구 동자동 후암로 93,"X :126.975105, Y :37.5533282"
올리브영,4.0,서울역,서울특별시 용산구 한강대로 405,"X :126.971042, Y :37.5523812"
스타벅스,4.0,숙대입구,서울특별시 용산구 갈월동 69-5,"X :126.971917, Y :37.5442184"
다이소,4.0,숙대입구,서울특별시 용산구 갈월동 한강대로77길 12 국제전산빌딩,"X :126.971850, Y :37.5422001"
이디야,4.0,숙대입구,"번지 2 층, 87 갈월동 용산구 서울특별시","X :x좌표없음, Y :y좌표없음"
올리브영,4.0,숙대입구,서울특별시 용산구 남영동 한강대로 285,"X :126.971883, Y :37.5436868"
스타벅스,4.0,삼각지,한강로2가 420번지 용산푸르지오써밋 지상1 2층 상가동 111 213 214 215호 용산구 서울특별시 KR,"X :126.964876, Y :37.5270254"
다이소,4.0,삼각지,서울특별시 용산구 한강로동 한강대로21나길 7,"X :126.963935, Y :37.5295840"
이디야,4.0,삼각지,서울특별시 용산구 한강로1가 한강대로 205,"X :126.973289, Y :37.5364251"
올리브영,4.0,삼각지,서울특별시 용산구 한강로3가 40-999,"X :126.963212, Y :37.5278989"
스타벅스,4.0,신용산,서울특별시 용산구 한강로동 한강대로 95 103호,"X :126.966628, Y :37.5288009"
다이소,4.0,신용산,서울특별시 용산구 한강로동 한강대로21나길 7,"X :126.963935, Y :37.5295840"
이디야,4.0,신용산,서울특별시 용산구 한강대로 52-1,"X :126.964662, Y :37.5253946"
올리브영,4.0,신용산,서울특별시 용산구 한강로2가 한강대로 95 래미안용산더센트럴 1층 101호,"X :126.966628, Y :37.5288009"
스타벅스,4.0,이촌,서울특별시 용산구 이촌로 276,"X :126.977266, Y :37.5185953"
다이소,4.0,이촌,서울특별시 용산구 한강로동 한강대로21나길 7,"X :126.963935, Y :37.5295840"
이디야,4.0,이촌,이촌동 301-53번지 2층 301동 26호 용산구 서울특별시 KR,"X :126.974698, Y :37.5204958"
올리브영,4.0,이촌,서울특별시 용산구 이촌1동 이촌로75길 16,"X :126.974404, Y :37.5205678"
스타벅스,4.0,동작,서울특별시 서초구 방배동 755-14,"X :126.985709, Y :37.4972610"
다이소,4.0,동작,서울특별시 동작구 사당로17가길 16 지하 1층,"X :126.973026, Y :37.4840139"
이디야,4.0,동작,"2 층, 135-6 사당동 동작구 서울특별시","X :x좌표없음, Y :y좌표없음"
올리브영,4.0,동작,서울특별시 동작구 사당동 동작대로 지하 3,"X :126.981609, Y :37.4768977"
스타벅스,4.0,총신대입구,서울특별시 서초구 동작대로 112,"X :126.982602, Y :37.4864666"
다이소,4.0,총신대입구,서울특별시 동작구 사당동 134-3,"X :126.981855, Y :37.4877459"
이디야,4.0,총신대입구,"2 층, 135-6 사당동 동작구 서울특별시","X :x좌표없음, Y :y좌표없음"
올리브영,4.0,총신대입구,서울특별시 동작구 사당동 동작대로 지하 3,"X :126.981609, Y :37.4768977"
스타벅스,4.0,사당,"1031-27 Sadang-Dong Dongjak-Gu, 1,2F, Seoul, 서울특별시","X :x좌표없음, Y :y좌표없음"
다이소,4.0,사당,서울특별시 동작구 남부순환로 2057,"X :126.977336, Y :37.4768789"
이디야,4.0,사당,서울특별시 관악구 남현동 과천대로 951,"X :126.981271, Y :37.4754561"
올리브영,4.0,사당,서울특별시 동작구 사당동 동작대로 지하 3,"X :126.981609, Y :37.4768977"
스타벅스,4.0,남태령,서울특별시 관악구 남부순환로 2082-25,"X :126.980977, Y :37.4760417"
다이소,4.0,남태령,경기도 과천시 중앙동 중앙로 129 지하 1층,"X :126.990909, Y :37.4283076"
이디야,4.0,남태령,서울특별시 관악구 남현동 과천대로 909,"X :126.982391, Y :37.4714648"
올리브영,4.0,남태령,서울특별시 관악구 남현동 과천대로 941,"X :126.981316, Y :37.4746542"
스타벅스,4.0,선바위,경기도 과천시 중앙로 277,"X :126.993789, Y :37.4393001"
다이소,4.0,선바위,경기도 과천시 중앙동 중앙로 129 지하 1층,"X :126.990909, Y :37.4283076"
이디야,4.0,선바위,경기도 과천시 부림동,"X :우편번호없음, Y :x좌표없음"
올리브영,4.0,선바위,경기도 과천시 별양동 1-10,"X :126.992525, Y :37.4282627"
스타벅스,4.0,경마공원,경기도 과천시 중앙로 277,"X :126.993789, Y :37.4393001"
다이소,4.0,경마공원,경기도 과천시 중앙동 중앙로 129 지하 1층,"X :126.990909, Y :37.4283076"
이디야,4.0,경마공원,경기도 과천시 부림동,"X :우편번호없음, Y :x좌표없음"
올리브영,4.0,경마공원,경기도 과천시 별양동 1-10,"X :126.992525, Y :37.4282627"
스타벅스,4.0,대공원,경기도 과천시 중앙로 277,"X :126.993789, Y :37.4393001"
다이소,4.0,대공원,경기도 과천시 중앙동 중앙로 129 지하 1층,"X :126.990909, Y :37.4283076"
이디야,4.0,대공원,경기도 과천시 부림동,"X :우편번호없음, Y :x좌표없음"
올리브영,4.0,대공원,경기도 과천시 별양동 1-10,"X :126.992525, Y :37.4282627"
스타벅스,4.0,과천,경기도 과천시 중앙동 중앙로 129,"X :126.990909, Y :37.4283076"
다이소,4.0,과천,경기도 과천시 중앙동 중앙로 129 지하 1층,"X :126.990909, Y :37.4283076"
이디야,4.0,과천,경기도 과천시 부림동,"X :우편번호없음, Y :x좌표없음"
올리브영,4.0,과천,경기도 과천시 중앙동 중앙로 129 지하 1층,"X :126.990909, Y :37.4283076"
스타벅스,4.0,정부과천청사,경기도 과천시 별양동 1-19,"X :126.991847, Y :37.4262804"
다이소,4.0,정부과천청사,경기도 과천시 원문동 별양로 12,"X :126.992074, Y :37.4203607"
이디야,4.0,정부과천청사,별양동 1-15번지 109호 112호 과천시 경기도 KR,"X :126.992028, Y :37.4277400"
올리브영,4.0,정부과천청사,경기도 과천시 별양동 1-10,"X :126.992525, Y :37.4282627"
스타벅스,4.0,인덕원,경기도 안양시 동안구 흥안대로 519,"X :126.976129, Y :37.4003199"
다이소,4.0,인덕원,경기도 안양시 동안구 관양동 1505-27,"X :126.977372, Y :37.4004913"
이디야,4.0,인덕원,동안구 관양동 1503번지 안양시 경기도 KR,"X :126.976355, Y :37.3999685"
올리브영,4.0,인덕원,경기도 안양시 동안구 관양1동,"X :우편번호없음, Y :x좌표없음"
스타벅스,4.0,평촌,경기도 안양시 동안구 관양동 시민대로 311,"X :126.964928, Y :37.3961452"
다이소,4.0,평촌,경기도 안양시 동안구 관양동 1505-27,"X :126.977372, Y :37.4004913"
이디야,4.0,평촌,경기도 안양시 동안구 부림동 1604-4,"X :126.963246, Y :37.3938471"
올리브영,4.0,평촌,경기도 안양시 동안구 관양동 1746-2,"X :126.965357, Y :37.3962445"
스타벅스,4.0,범계,경기도 안양시 동안구 시민대로 180 G스퀘어 1층,"X :126.950860, Y :37.3904096"
다이소,4.0,범계,경기도 안양시 만안구 안양4동 676-116,"X :126.921967, Y :37.3975478"
이디야,4.0,범계,경기도 안양시 동안구 호계동 1042,"X :126.953434, Y :37.3914648"
올리브영,4.0,범계,경기도 안양시 동안구 평촌대로223번길 41,"X :126.953503, Y :37.3904738"
스타벅스,4.0,금정,"경기도 군포시 금정동 엘에스로 143 힐스테이트 금정역), AK플라자 4층","X :126.944821, Y :37.3722964"
다이소,4.0,금정,경기도 군포시 산본1동 266-1,"X :126.942733, Y :37.3719710"
이디야,4.0,금정,경기도 군포시 산본동 산본천로 216,"X :126.941413, Y :37.3711144"
올리브영,4.0,금정,경기도 군포시 산본1동 266-7,"X :126.943050, Y :37.3712323"
스타벅스,4.0,산본,경기도 군포시 번영로 497,"X :126.932269, Y :37.3582878"
다이소,4.0,산본,경기도 군포시 번영로 485,"X :126.930632, Y :37.3578454"
이디야,4.0,산본,경기도 군포시 산본동 번영로 504,"X :126.932461, Y :37.3577203"
올리브영,4.0,산본,경기도 군포시 산본동 산본로323번길 20-17,"X :126.931184, Y :37.3592603"
스타벅스,4.0,수리산,경기도 군포시 번영로 497,"X :126.932269, Y :37.3582878"
다이소,4.0,수리산,경기도 군포시 군포로 486,"X :126.944624, Y :37.3496626"
이디야,4.0,수리산,경기도 군포시 산본동 번영로 504,"X :126.932461, Y :37.3577203"
올리브영,4.0,수리산,경기도 군포시 산본동 산본로323번길 20-17,"X :126.931184, Y :37.3592603"
스타벅스,4.0,대야미,경기도 군포시 번영로 497,"X :126.932269, Y :37.3582878"
다이소,4.0,대야미,경기도 군포시 군포로 486,"X :126.944624, Y :37.3496626"
이디야,4.0,대야미,경기도 군포시 대야동 660-3,"X :126.917675, Y :37.3266434"
올리브영,4.0,대야미,경기도 군포시 산본동 산본로323번길 20-17,"X :126.931184, Y :37.3592603"
스타벅스,4.0,반월,경기도 안산시 상록구 광덕1로 379,"X :126.851244, Y :37.3086203"
다이소,4.0,반월,경기도 안산시 상록구 월피동 445-5,"X :126.844681, Y :37.3291642"
이디야,4.0,반월,경기도 안산시 상록구 건건동 644-7,"X :126.902956, Y :37.3056562"
올리브영,4.0,반월,경기도 안산시 상록구 월피동 445-25,"X :126.847582, Y :37.3286004"
스타벅스,4.0,상록수,경기도 안산시 상록구 광덕1로 379,"X :126.851244, Y :37.3086203"
다이소,4.0,상록수,경기도 안산시 상록구 본오동 용신로 388,"X :126.865097, Y :37.3013838"
이디야,4.0,상록수,경기도 안산시 상록구 본오동 874-3,"X :126.864758, Y :37.3022123"
올리브영,4.0,상록수,경기도 안산시 상록구 이동 716-2,"X :126.852385, Y :37.3077928"
스타벅스,4.0,한대앞,경기도 안산시 상록구 광덕1로 379,"X :126.851244, Y :37.3086203"
다이소,4.0,한대앞,경기도 안산시 상록구 이동 720,"X :126.848845, Y :37.3064728"
이디야,4.0,한대앞,경기도 안산시 상록구 중보로 49,"X :126.852114, Y :37.3076663"
올리브영,4.0,한대앞,경기도 안산시 상록구 이동 716-2,"X :126.852385, Y :37.3077928"
스타벅스,4.0,중앙,경기도 안산시 단원구 고잔동 541,"X :126.837700, Y :37.3170900"
다이소,4.0,중앙,경기도 안산시 단원구 고잔2동,"X :우편번호없음, Y :x좌표없음"
이디야,4.0,중앙,경기도 안산시 단원구 고잔동 중앙대로 907,"X :126.837463, Y :37.3172159"
올리브영,4.0,중앙,경기도 안산시 단원구 고잔동 540-14,"X :126.838568, Y :37.3176679"
스타벅스,4.0,고잔,경기도 안산시 단원구 고잔동 적금로 120,"X :126.826381, Y :37.3187588"
다이소,4.0,고잔,경기도 안산시 단원구 고잔동 533-2,"X :126.834211, Y :37.3187070"
이디야,4.0,고잔,경기도 안산시 단원구 다리간로 18,"X :126.823785, Y :37.3147543"
올리브영,4.0,고잔,경기도 안산시 단원구 고잔동 726-6,"X :126.831584, Y :37.3126754"
스타벅스,4.0,초지,경기도 안산시 단원구 단원구 초지동 742-4,"X :126.812905, Y :37.3030962"
다이소,4.0,초지,경기도 안산시 단원구 선부동 선부광장1로 70,"X :126.811920, Y :37.3359191"
이디야,4.0,초지,경기도 안산시 단원구 화랑로 160,"X :126.806584, Y :37.3222779"
올리브영,4.0,초지,경기도 안산시 단원구 원곡동 835 상가2동 e편한세상 초지역센트럴포레,"X :126.797639, Y :37.3259210"
스타벅스,4.0,안산,경기도 안산시 단원구 단원구 고잔동 539-1,"X :126.837607, Y :37.3187208"
다이소,4.0,안산,단원구 원곡동 798-7번지 1층 안산시 경기도 KR,"X :126.790582, Y :37.3278909"
이디야,4.0,안산,경기도 안산시 단원구 신길로 9-4,"X :126.786374, Y :37.3314874"
올리브영,4.0,안산,경기도 안산시 단원구 원곡동 835 상가2동 e편한세상 초지역센트럴포레,"X :126.797639, Y :37.3259210"
스타벅스,4.0,신길온천,경기도 안산시 단원구 단원구 신길동 1687,"X :126.784987, Y :37.3311605"
다이소,4.0,신길온천,단원구 원곡동 798-7번지 1층 안산시 경기도 KR,"X :126.790582, Y :37.3278909"
이디야,4.0,신길온천,"1633, 신길동 단원구 안산시 경기도","X :x좌표없음, Y :y좌표없음"
올리브영,4.0,신길온천,KR 서울 영등포구 신길동 103-9,"X :x좌표없음, Y :y좌표없음"
스타벅스,4.0,정왕,경기도 시흥시 정왕동 1738-6,"X :126.737323, Y :37.3446512"
다이소,4.0,정왕,경기도 시흥시 정왕동 2301-5,"X :126.740964, Y :37.3525972"
이디야,4.0,정왕,경기도 시흥시 정왕동 2326-1,"X :126.742899, Y :37.3511779"
올리브영,4.0,정왕,경기도 시흥시 정왕1동 중심상가3길 15-1,"X :126.736658, Y :37.3445506"
스타벅스,4.0,오이도,경기도 시흥시 정왕동 서울대학로278번길 43-13,"X :126.730170, Y :37.3692058"
다이소,4.0,오이도,경기도 시흥시 정왕동 2301-5,"X :126.740964, Y :37.3525972"
이디야,4.0,오이도,경기도 시흥시 정왕동 1978,"X :126.728254, Y :37.3496943"
올리브영,4.0,오이도,경기도 시흥시 정왕1동 중심상가3길 15-1,"X :126.736658, Y :37.3445506"
스타벅스,6.0,역촌,은평구 응암동 96-1,"X :126.926643, Y :37.6010689"
다이소,6.0,역촌,서울특별시 은평구 갈현동 468-2,"X :126.915997, Y :37.6122609"
이디야,6.0,역촌,서울특별시 은평구 역촌동 43-2,"X :126.918615, Y :37.6007482"
올리브영,6.0,역촌,서울특별시 은평구 서오릉로 137,"X :126.917641, Y :37.6107935"
스타벅스,6.0,불광,서울특별시 은평구 대조동 15-9,"X :126.930282, Y :37.6093962"
다이소,6.0,불광,서울특별시 은평구 대조동 통일로67길 3 상일빌딩,"X :126.928898, Y :37.6108279"
이디야,6.0,불광,서울특별시 은평구 불광1동 불광로 59,"X :126.931694, Y :37.6123343"
올리브영,6.0,불광,서울특별시 은평구 불광동 통일로 736,"X :126.929600, Y :37.6112428"
스타벅스,6.0,독바위,서울특별시 은평구 진관동 진관2로 12,"X :126.920357, Y :37.6333289"
다이소,6.0,독바위,서울특별시 은평구 불광동 연서로 253,"X :126.922637, Y :37.6199959"
이디야,6.0,독바위,서울특별시 은평구 불광동 13-22,"X :126.933286, Y :37.6181375"
올리브영,6.0,독바위,서울특별시 은평구 갈현동 396-4,"X :126.920361, Y :37.6195709"
이디야,1.0,인천역,인천광역시 중구 58-1,"X :우편번호없음, Y :x좌표없음"
다이소,1.0,인천역,인천광역시 중구 인현동 19-7,"X :126.630190, Y :37.4750550"
올리브영,1.0,인천역,"인천광역시 부평구 광장로 16 인천 부평구 광장로 16 민자역사 지하2층 35,37 38호","X :126.722668, Y :37.4896712"
스타벅스,1.0,인천역,인천광역시 남구 용현동 630-9,"X :126.632473, Y :37.4523749"
이디야,1.0,동인천역,인천광역시 중구 58-1,"X :우편번호없음, Y :x좌표없음"
다이소,1.0,동인천역,인천광역시 중구 인현동 19-7,"X :126.630190, Y :37.4750550"
올리브영,1.0,동인천역,인천광역시 남구 숙골로 87번길 5 2단지 142~45호 더샵인천스카이타워,"X :우편번호없음, Y :x좌표없음"
스타벅스,1.0,동인천역,인천광역시 남구 용현동 630-9,"X :126.632473, Y :37.4523749"
이디야,1.0,도원역,인천광역시 중구 58-1,"X :우편번호없음, Y :x좌표없음"
다이소,1.0,도원역,인천광역시 남구 도화동 706-3,"X :126.668614, Y :37.4730791"
올리브영,1.0,도원역,용현동 190-35번지 1층 남구 인천광역시 KR,"X :126.657319, Y :37.4512155"
스타벅스,1.0,도원역,인천광역시 남구 숭의동 78-2,"X :126.654095, Y :37.4664510"
이디야,1.0,제물포역,인천광역시 남구 숭의4동 59-9,"X :126.656799, Y :37.4659814"
다이소,1.0,제물포역,인천광역시 남구 숭의4동 51-21,"X :126.656466, Y :37.4646289"
올리브영,1.0,제물포역,인천광역시 남구 숙골로 87번길 5 2단지 142~45호 더샵인천스카이타워,"X :우편번호없음, Y :x좌표없음"
스타벅스,1.0,제물포역,인천광역시 남구 숭의동 78-2,"X :126.654095, Y :37.4664510"
이디야,1.0,도화역,인천광역시 남구 도화동 104-8번지 기아자동차 103호,"X :126.665661, Y :37.4685567"
다이소,1.0,도화역,인천광역시 남구 도화동 706-3,"X :126.668614, Y :37.4730791"
올리브영,1.0,도화역,주안동 30-1번지 아이존쇼핑몰 A동 B1층 남구 인천광역시 KR,"X :126.680448, Y :37.4655254"
스타벅스,1.0,도화역,"141-1, Juan-Dong Nam-Gu, 1,2F, Incheon, 인천광역시","X :x좌표없음, Y :y좌표없음"
이디야,1.0,주안역,인천광역시 남구 주안1동,"X :우편번호없음, Y :x좌표없음"
다이소,1.0,주안역,인천광역시 남구 주안5동 125,"X :126.680586, Y :37.4649672"
올리브영,1.0,주안역,주안동 30-1번지 아이존쇼핑몰 A동 B1층 남구 인천광역시 KR,"X :126.680448, Y :37.4655254"
스타벅스,1.0,주안역,"141-1, Juan-Dong Nam-Gu, 1,2F, Incheon, 인천광역시","X :x좌표없음, Y :y좌표없음"
이디야,1.0,간석역,인천광역시 남구 주안6동 46-1,"X :126.694336, Y :37.4638504"
다이소,1.0,간석역,인천광역시 남동구 간석4동 762-25,"X :126.693959, Y :37.4648315"
올리브영,1.0,간석역,주안동 30-1번지 아이존쇼핑몰 A동 B1층 남구 인천광역시 KR,"X :126.680448, Y :37.4655254"
스타벅스,1.0,간석역,인천광역시 남동구 617-6,"X :우편번호없음, Y :x좌표없음"
이디야,1.0,동암역,인천광역시 부평구 십정동 406-3,"X :126.700388, Y :37.4711731"
다이소,1.0,동암역,인천광역시 남구 숭의4동 51-21,"X :126.656466, Y :37.4646289"
올리브영,1.0,동암역,인천광역시 부평구 십정2동 408-14,"X :126.701916, Y :37.4708166"
스타벅스,1.0,동암역,인천광역시 부평구 십정2동 402-56,"X :126.702308, Y :37.4715564"
이디야,1.0,백운역,인천광역시 부평구 십정동 186-114,"X :126.707391, Y :37.4842462"
다이소,1.0,백운역,인천광역시 부평구 경인로 947,"X :126.724891, Y :37.4878835"
올리브영,1.0,백운역,인천광역시 부평구 경인로 947,"X :126.724891, Y :37.4878835"
스타벅스,1.0,백운역,인천광역시 남동구 간석동 772,"X :126.710168, Y :37.4765766"
이디야,1.0,부평역,인천광역시 부평구 경원대로 1373 1층,"X :126.721327, Y :37.4915061"
다이소,1.0,부평역,인천광역시 부평구 부평동 738,"X :126.723360, Y :37.4891863"
올리브영,1.0,부평역,"인천광역시 부평구 광장로 16 인천 부평구 광장로 16 민자역사 지하2층 35,37 38호","X :126.722668, Y :37.4896712"
스타벅스,1.0,부평역,인천광역시 부평구 부평동 경원대로 1377,"X :126.722119, Y :37.4914629"
이디야,1.0,부개역,인천광역시 부평구 수변로10번길 48 한울팰리스 1층,"X :126.742014, Y :37.4866970"
다이소,1.0,부개역,부개동 12-112번지 2층 부평구 인천광역시 KR,"X :126.734966, Y :37.5037462"
올리브영,1.0,부개역,인천광역시 부평구 경인로 947,"X :126.724891, Y :37.4878835"
스타벅스,1.0,부개역,인천광역시 부평구 부평동 경원대로 1377,"X :126.722119, Y :37.4914629"
이디야,1.0,송내역,경기도 부천시 소사구 송내1동 709-6,"X :126.752768, Y :37.4863056"
다이소,1.0,송내역,경기도 부천시 소사구 송내동 송내대로 43,"X :126.752752, Y :37.4876571"
올리브영,1.0,송내역,경기도 부천시 원미구 상동 상일로94번길 34,"X :126.752484, Y :37.4900442"
스타벅스,1.0,송내역,경기도 부천시 원미구 상동 464,"X :126.752581, Y :37.4883235"
이디야,1.0,중동역,경기도 부천시 소사구 송내동 373,"X :126.764206, Y :37.4843469"
다이소,1.0,중동역,경기도 부천시 길주로 267,"X :126.772490, Y :37.5040051"
올리브영,1.0,중동역,경기도 부천시 원미구 중동 1140-3,"X :126.776060, Y :37.5015702"
스타벅스,1.0,중동역,경기도 부천시 원미구 부흥로 193,"X :126.764269, Y :37.4963304"
이디야,1.0,부천역,경기도 부천시 소사구 심곡본동 736-2,"X :126.782346, Y :37.4828232"
다이소,1.0,부천역,경기도 부천시 부천로 20 지하1층,"X :126.783580, Y :37.4860511"
올리브영,1.0,부천역,경기도 부천시 심곡본동 316-2,"X :126.782636, Y :37.4840221"
스타벅스,1.0,부천역,경기도 부천시 원미구 심곡동 174-1,"X :126.782079, Y :37.4850482"
이디야,1.0,소사역,경기도 부천시 소사로282번길 8,"X :126.795097, Y :37.4835670"
다이소,1.0,소사역,경기도 부천시 소사구 소사본동 395,"X :126.795066, Y :37.4827200"
올리브영,1.0,소사역,경기도 부천시 원미구 부천로9번길 28,"X :126.781354, Y :37.4855514"
스타벅스,1.0,소사역,경기도 부천시 원미구 심곡동 174-1,"X :126.782079, Y :37.4850482"
이디야,1.0,역곡역,경기도 부천시 원미구 역곡동 82-8,"X :126.812186, Y :37.4862535"
다이소,1.0,역곡역,경기도 부천시 원미구 역곡동 80-6,"X :126.811566, Y :37.4854596"
올리브영,1.0,역곡역,역곡동 77-9번지 부천시 경기도 KR,"X :126.810762, Y :37.4858278"
스타벅스,1.0,역곡역,경기도 부천시 경인로 485,"X :126.809287, Y :37.4835098"
이디야,1.0,온수역,서울특별시 구로구 온수동 51-7,"X :126.824021, Y :37.4924527"
다이소,1.0,온수역,경기도 부천시 소사구 역곡3동 113-3,"X :126.811444, Y :37.4845584"
올리브영,1.0,온수역,역곡동 77-9번지 부천시 경기도 KR,"X :126.810762, Y :37.4858278"
스타벅스,1.0,온수역,경기도 부천시 경인로 485,"X :126.809287, Y :37.4835098"
이디야,1.0,오류동역,서울특별시 구로구 오류동 51-31,"X :126.843362, Y :37.4953904"
다이소,1.0,오류동역,서울특별시 구로구 오류동 경인로 209,"X :126.843903, Y :37.4963372"
올리브영,1.0,오류동역,서울특별시 구로구 오류1동 51-9,"X :126.843531, Y :37.4955618"
스타벅스,1.0,오류동역,서울특별시 구로구 경인로 216,"X :126.844853, Y :37.4961312"
이디야,1.0,개봉역,"2 층, 403-50 개봉동 구로구 서울특별시","X :x좌표없음, Y :y좌표없음"
다이소,1.0,개봉역,서울특별시 구로구 개봉1동 경인로40길 41 대덕빌딩 지하,"X :126.859058, Y :37.4951311"
올리브영,1.0,개봉역,서울특별시 양천구 오목로 300 현대하이페리온2,"X :126.869897, Y :37.5243270"
스타벅스,1.0,개봉역,서울특별시 구로구 고척동 72-59,"X :126.863126, Y :37.4970730"
이디야,1.0,구일역,서울특별시 구로구 구로동 642-108,"X :126.871984, Y :37.4950558"
다이소,1.0,구일역,서울특별시 구로구 구로5동 가마산로 263 뉴월드빌딩 지하 1층,"X :126.889442, Y :37.4958936"
올리브영,1.0,구일역,서울특별시 구로구 오류1동 51-9,"X :126.843531, Y :37.4955618"
스타벅스,1.0,구일역,구로구 NC 573 KR 서울특별시 구로구 구로동,"X :우편번호없음, Y :x좌표없음"
이디야,1.0,구로역,서울특별시 구로구 구로동 번지 109호 호 603-9 스타팰리스,"X :우편번호없음, Y :x좌표없음"
다이소,1.0,구로역,서울특별시 구로구 구로5동 가마산로 263 뉴월드빌딩 지하 1층,"X :126.889442, Y :37.4958936"
올리브영,1.0,구로역,서울특별시 구로구 구로3동 187-10,"X :126.898786, Y :37.4851351"
스타벅스,1.0,구로역,구로구 NC 573 KR 서울특별시 구로구 구로동,"X :우편번호없음, Y :x좌표없음"
이디야,1.0,가산디지털단지역,서울특별시 금천구 가산동 470-5,"X :126.881264, Y :37.4829472"
다이소,1.0,가산디지털단지역,서울특별시 금천구 벚꽃로 266,"X :126.885002, Y :37.4784369"
올리브영,1.0,가산디지털단지역,서울특별시 금천구 가산동 372-41,"X :126.883773, Y :37.4766427"
스타벅스,1.0,가산디지털단지역,서울특별시 금천구 50-3,"X :우편번호없음, Y :x좌표없음"
이디야,1.0,독산역,서울특별시 금천구 시흥대로 399,"X :126.897440, Y :37.4693934"
다이소,1.0,독산역,서울특별시 금천구 독산1동 시흥대로 403 셈프레팜,"X :126.897598, Y :37.4697629"
올리브영,1.0,독산역,서울특별시 금천구 시흥동 883-7번지 1층,"X :126.901202, Y :37.4542057"
스타벅스,1.0,독산역,서울특별시 금천구 시흥대로 399,"X :126.897440, Y :37.4693934"
이디야,1.0,금천구청역,서울특별시 금천구 시흥대로 198,"X :126.902188, Y :37.4516026"
다이소,1.0,금천구청역,서울특별시 금천구 시흥1동 883-2,"X :126.901054, Y :37.4545659"
올리브영,1.0,금천구청역,서울특별시 금천구 시흥동 883-7번지 1층,"X :126.901202, Y :37.4542057"
스타벅스,1.0,금천구청역,"서울특별시 금천구 시흥동 1031 엠타워 112,113,114,115호","X :126.895729, Y :37.4559218"
이디야,1.0,광명역,경기도 광명시 일직동 광명역로 21,"X :126.884781, Y :37.4172131"
다이소,1.0,광명역,경기도 광명시 광명로 907,"X :126.854339, Y :37.4799164"
올리브영,1.0,광명역,경기도 광명시 일직동 513,"X :126.880692, Y :37.4171730"
스타벅스,1.0,광명역,"광명역써밋플레이스, 16 양지로, 일직동 광명시 경기도","X :x좌표없음, Y :y좌표없음"
이디야,1.0,석수역,만안구 석수동 425-1번지 1층 105 106호 안양시 경기도 KR,"X :126.902122, Y :37.4331318"
다이소,1.0,석수역,경기도 안양시 만안구 석수동 314-1,"X :126.911358, Y :37.4101994"
올리브영,1.0,석수역,경기도 안양시 만안구 안양동 1189-1번지 지하층 D20호 일번가 지하쇼핑몰,"X :126.926013, Y :37.3944149"
스타벅스,1.0,석수역,경기도 안양시 만안구 만안구 석수동 385-3,"X :126.903481, Y :37.4309976"
이디야,1.0,관악역,만안구 석수동 425-1번지 1층 105 106호 안양시 경기도 KR,"X :126.902122, Y :37.4331318"
다이소,1.0,관악역,경기도 안양시 만안구 석수동 314-1,"X :126.911358, Y :37.4101994"
올리브영,1.0,관악역,서울특별시 관악구 봉천동 관악로 171,"X :126.952190, Y :37.4805292"
스타벅스,1.0,관악역,경기도 안양시 만안구 만안구 석수동 385-3,"X :126.903481, Y :37.4309976"
이디야,1.0,안양역,경기도 안양시 만안구 만안로 207,"X :126.923749, Y :37.3992249"
다이소,1.0,안양역,경기도 안양시 만안구 만안로 207,"X :126.923749, Y :37.3992249"
올리브영,1.0,안양역,경기도 안양시 만안구 안양동 674-105,"X :126.922948, Y :37.3993144"
스타벅스,1.0,안양역,경기도 안양시 만안구 안양동 88-1 2필지 민자역사 1층 001호,"X :126.922946, Y :37.4010894"
이디야,1.0,명학역,경기도 안양시 만안구 태평로60번길 42,"X :126.930687, Y :37.3962919"
다이소,1.0,명학역,경기도 안양시 만안구 안양동 안양로 145,"X :126.930526, Y :37.3871645"
올리브영,1.0,명학역,경기도 안양시 만안구 안양동 674-105,"X :126.922948, Y :37.3993144"
스타벅스,1.0,명학역,"경기도 안양시 만안구 안양동 1410 KR 128,129,130,132,133,134,135,136호","X :126.934300, Y :37.3839591"
