,건물,호선,역,주소
91,올리브영,1,독산역,서울특별시 금천구 시흥동 883-7번지 1층
92,스타벅스,1,독산역,서울특별시 금천구 시흥대로 399
93,이디야,1,금천구청역,서울특별시 금천구 시흥대로 198
94,다이소,1,금천구청역,서울특별시 금천구 시흥1동 883-2
95,올리브영,1,금천구청역,서울특별시 금천구 시흥동 883-7번지 1층
96,스타벅스,1,금천구청역,"서울특별시 금천구 시흥동 1031 엠타워 112,113,114,115호"
97,이디야,1,광명역,경기도 광명시 일직동 광명역로 21
98,다이소,1,광명역,경기도 광명시 광명로 907
99,올리브영,1,광명역,경기도 광명시 일직동 513
100,스타벅스,1,광명역,"광명역써밋플레이스, 16 양지로, 일직동 광명시 경기도"
101,이디야,1,석수역,만안구 석수동 425-1번지 1층 105 106호 안양시 경기도 KR
102,다이소,1,석수역,경기도 안양시 만안구 석수동 314-1
103,올리브영,1,석수역,경기도 안양시 만안구 안양동 1189-1번지 지하층 D20호 일번가 지하쇼핑몰
104,스타벅스,1,석수역,경기도 안양시 만안구 만안구 석수동 385-3
105,이디야,1,관악역,만안구 석수동 425-1번지 1층 105 106호 안양시 경기도 KR
106,다이소,1,관악역,경기도 안양시 만안구 석수동 314-1
107,올리브영,1,관악역,서울특별시 관악구 봉천동 관악로 171
108,스타벅스,1,관악역,경기도 안양시 만안구 만안구 석수동 385-3
109,이디야,1,안양역,경기도 안양시 만안구 만안로 207
110,다이소,1,안양역,경기도 안양시 만안구 만안로 207
111,올리브영,1,안양역,경기도 안양시 만안구 안양동 674-105
112,스타벅스,1,안양역,경기도 안양시 만안구 안양동 88-1 2필지 민자역사 1층 001호
113,이디야,1,명학역,경기도 안양시 만안구 태평로60번길 42
114,다이소,1,명학역,경기도 안양시 만안구 안양동 안양로 145
115,올리브영,1,명학역,경기도 안양시 만안구 안양동 674-105
116,스타벅스,1,명학역,"경기도 안양시 만안구 안양동 1410 KR 128,129,130,132,133,134,135,136호"
117,이디야,1,금정역,경기도 군포시 산본동 산본천로 216
118,다이소,1,금정역,경기도 군포시 군포로 486
119,올리브영,1,금정역,경기도 군포시 산본1동 266-7
120,스타벅스,1,금정역,"경기도 군포시 금정동 엘에스로 143 힐스테이트 금정역), AK플라자 4층"
121,이디야,1,군포역,경기도 군포시 당동 751-7번지 KR 1층
122,다이소,1,군포역,경기도 군포시 군포로 486
123,올리브영,1,군포역,경기도 군포시 산본1동 266-7
124,스타벅스,1,군포역,경기도 군포시 산본동 111 KR
125,이디야,1,당정역,당정동 1013-1번지 103호 동원빌딩 군포시 경기도 KR
126,다이소,1,당정역,경기도 군포시 군포로 486
127,올리브영,1,당정역,경기도 군포시 당동 921-3
128,스타벅스,1,당정역,경기도 군포시 당정동 1015-5
129,이디야,1,의왕역,경기도 의왕시 삼동 199-1
130,다이소,1,의왕역,경기도 의왕시 삼동 192-60
131,올리브영,1,의왕역,KR 경기 의왕시 삼동 471-24
132,스타벅스,1,의왕역,경기도 의왕시 청계동 829-4 KR
133,이디야,1,성균관대역,경기도 수원시 장안구 율전동 292-7
134,다이소,1,성균관대역,경기도 수원시 장안구 율전동 495-2
135,올리브영,1,성균관대역,경기도 수원시 장안구 율전동 285-8
136,스타벅스,1,성균관대역,경기도 수원시 장안구 서부로 2131
137,이디야,1,화서역,경기도 수원시 팔달구 화서동 174-14
138,다이소,1,화서역,경기도 수원시 팔달구 화서2동 410-1
139,올리브영,1,화서역,경기도 수원시 팔달구 향교로 5 1층
140,스타벅스,1,화서역,경기도 수원시 팔달구 매산로 11
141,이디야,1,수원역,경기도 수원시 팔달구 매산로2가 40-34
142,다이소,1,수원역,경기도 수원시 팔달구 매산로1가 덕영대로 924
143,올리브영,1,수원역,경기도 수원시 팔달구 덕영대로
144,스타벅스,1,수원역,경기도 수원시 팔달구 매산로1가 18 KR AK플라자
145,이디야,1,세류역,경기도 수원시 권선구 세류1동 230-39
146,다이소,1,세류역,경기도 수원시 권선구 세류동 경수대로 291
147,올리브영,1,세류역,경기도 수원시 권선구 권선동 1192-1
148,스타벅스,1,세류역,경기도 수원시 권선구 세류동 325-1 KR
149,이디야,1,병정역,경기도 화성시 진안동 527-16
150,다이소,1,병정역,경기도 화성시 병점동 431-54
151,올리브영,1,병정역,진안동 914-2번지 화성시 경기도 KR
152,스타벅스,1,병정역,경기도 화성시 진안동 873-4
153,이디야,1,신도림역,서울특별시 구로구 신도림 테크노마트 1층
154,다이소,1,신도림역,서울특별시 구로구 신도림동 경인로 662 디큐브시티
155,올리브영,1,신도림역,서울특별시 구로구 신도림동 360-51
156,스타벅스,1,신도림역,서울특별시 구로구 신도림동 413-9
157,이디야,1,영등포역,서울특별시 영등포구 영등포동 423-103
158,다이소,1,영등포역,서울특별시 영등포구 영등포동3가 9-2
159,올리브영,1,영등포역,서울특별시 영등포구 영중로 15
160,스타벅스,1,영등포역,서울특별시 영등포구 영등포동1가 143-3 J&AMP;S
161,이디야,1,신길역,서울특별시 영등포구 신길동 59-2
162,다이소,1,신길역,신길동 110-5번지 지하1층 B동 01호 태화빌딩 영등포구 서울특별시 KR
163,올리브영,1,신길역,KR 서울 영등포구 신길동 103-9
164,스타벅스,1,신길역,서울특별시 영등포구 신길동 252-9
165,이디야,1,대방역,서울특별시 동작구 대방동 노량진로 24
166,다이소,1,대방역,서울특별시 동작구 대방동 341-2
167,올리브영,1,대방역,서울특별시 영등포구 영등포로 422
168,스타벅스,1,대방역,노량진로 134 동작구 서울특별시 KR
169,이디야,1,노량진역,서울특별시 동작구 노량진2동 노량진로 110
170,다이소,1,노량진역,서울특별시 동작구 노량진로 166
171,올리브영,1,노량진역,서울특별시 동작구 노량진로 162
172,스타벅스,1,노량진역,노량진로 134 동작구 서울특별시 KR
173,이디야,1,용산역,서울특별시 용산구 한강대로 52-1
174,다이소,1,용산역,서울특별시 용산구 한강로동 한강대로21나길 7
175,올리브영,1,용산역,서울특별시 용산구 한강로3가 40-999
176,스타벅스,1,용산역,서울특별시 용산구 한강로3가 한강대로23길 55 6층
177,이디야,1,남영역,"번지 2 층, 87 갈월동 용산구 서울특별시"
178,다이소,1,남영역,서울특별시 용산구 갈월동 한강대로77길 12 국제전산빌딩
179,올리브영,1,남영역,서울특별시 용산구 남영동 한강대로 285
180,스타벅스,1,남영역,서울특별시 용산구 갈월동 90-8
181,이디야,1,서울역,서울특별시 용산구 동자동 후암로 93
182,다이소,1,서울역,서울특별시 용산구 한강대로 405
183,올리브영,1,서울역,서울특별시 용산구 한강대로 405
184,스타벅스,1,서울역,서울특별시 용산구 동자동 43-205 서울역(철도역
185,이디야,1,시청역,서울특별시 중구 무교동 세종대로20길 23
186,다이소,1,시청역,서울특별시 중구 세종대로
187,올리브영,1,시청역,서울특별시 중구 세종대로16길 1
188,스타벅스,1,시청역,서울특별시 중구 을지로1가 50 삼성 화재 삼성 빌딩 1 층
189,이디야,1,종각역,종로타워 지하 KR 서울특별시 종로구 종로 51 1층
190,다이소,1,종각역,종로타워 지하 KR 서울특별시 종로구 종로 51 1층
191,올리브영,1,종각역,서울특별시 종로구 종로2가 7
192,스타벅스,1,종각역,서울특별시 종로구 종로 64
193,이디야,1,종로3가역,서울특별시 종로구 종로 126
194,다이소,1,종로3가역,서울특별시 종로구 종로2가 삼일대로 395
195,올리브영,1,종로3가역,서울특별시 종로구 종로3가 117
196,스타벅스,1,종로3가역,서울특별시 종로구 종로 113-1
197,이디야,1,종로5가역,서울특별시 종로구 종로5가 182-5
198,다이소,1,종로5가역,서울특별시 종로구 종로5가 182-5
199,올리브영,1,종로5가역,서울특별시 종로구 종로2가
200,스타벅스,1,종로5가역,서울특별시 종로구 인의동 48-2
201,이디야,1,동대문역,서울특별시 종로구 율곡로 286
202,다이소,1,동대문역,서울특별시 종로구 창신동 율곡로 309
203,올리브영,1,동대문역,서울특별시 중구 장충단로 251
204,스타벅스,1,동대문역,서울특별시 중구 장충단로 229
205,이디야,1,동묘앞역,서울특별시 종로구 율곡로 286
206,다이소,1,동묘앞역,서울특별시 종로구 숭인동 85
207,올리브영,1,동묘앞역,서울특별시 종로구 창신동 266-1
208,스타벅스,1,동묘앞역,서울특별시 종로구 숭인동 310 대우 디오빌
209,이디야,1,신설동역,서울특별시 종로구 숭인동
210,다이소,1,신설동역,서울특별시 종로구 창신동 율곡로 309
211,올리브영,1,신설동역,서울특별시 동대문구 신설동
212,스타벅스,1,신설동역,서울특별시 동대문구 왕산로 19
213,이디야,1,제기동역,용두동 119-1번지 동대문구 서울특별시 KR
214,다이소,1,제기동역,서울특별시 동대문구 제기동 번지 지하 1054-1 1층
215,올리브영,1,제기동역,서울특별시 동대문구 전농동 왕산로 214
216,스타벅스,1,제기동역,서울특별시 동대문구 왕산로 19
217,이디야,1,청량리역,서울특별시 동대문구 청량리동 왕산로 225 미주상가
218,다이소,1,청량리역,서울특별시 동대문구 청량리동
219,올리브영,1,청량리역,서울특별시 동대문구 전농동 왕산로 214
220,스타벅스,1,청량리역,서울특별시 동대문구 전농동 591-53
221,이디야,1,회기역,서울특별시 동대문구 휘경동
222,다이소,1,회기역,서울특별시 동대문구 휘경동 320-3
223,올리브영,1,회기역,서울특별시 동대문구 휘경동
224,스타벅스,1,회기역,서울특별시 동대문구 회기동 이문로 37
225,이디야,1,외대앞역,서울특별시 동대문구 이문동 305-59
226,다이소,1,외대앞역,서울특별시 동대문구 이문동 휘경로 15
227,올리브영,1,외대앞역,서울특별시 동대문구 이문동 270-1
228,스타벅스,1,외대앞역,서울특별시 동대문구 이문1동 이문로19길 8-1
229,이디야,1,신이문역,서울특별시 동대문구 이문동 305-59
230,다이소,1,신이문역,서울특별시 동대문구 이문동 휘경로 15
231,올리브영,1,신이문역,서울특별시 동대문구 이문동 270-1
232,스타벅스,1,신이문역,서울특별시 동대문구 이문1동 이문로19길 8-1
233,이디야,1,석계역,"1 층, 168-2 석관동 성북구 서울특별시"
234,다이소,1,석계역,서울특별시 노원구 월계동 63-10
235,올리브영,1,석계역,서울특별시 노원구 월계동 55-14
236,스타벅스,1,석계역,"1 층, 168-2 석관동 성북구 서울특별시"
237,이디야,1,광운대역,서울특별시 노원구 월계1동 광운로 29
238,다이소,1,광운대역,서울특별시 노원구 월계동 63-10
239,올리브영,1,광운대역,월계동 413-1번지 1층 2호 노원구 서울특별시 KR
240,스타벅스,1,광운대역,서울특별시 노원구 석계로 104
241,이디야,1,월계역,월계동 290-1번지 1층 ID시티 노원구 서울특별시 KR
242,다이소,1,월계역,서울특별시 노원구 월계동 63-10
243,올리브영,1,월계역,월계동 413-1번지 1층 2호 노원구 서울특별시 KR
244,스타벅스,1,월계역,서울특별시 노원구 월계동 초안산로2라길 26
245,이디야,3,오금역,"가락 스타 클래스, 8 가락동 송파구 서울특별시"
246,다이소,3,오금역,서울특별시 송파구 가락동 7
247,올리브영,3,오금역,서울특별시 송파구 가락동 167-4
248,스타벅스,3,오금역,송파구 오금동 17-8
249,이디야,3,경찰병원역,서울특별시 송파구 가락동 송이로 87
250,다이소,3,경찰병원역,서울특별시 송파구 가락본동 중대로 109
251,올리브영,3,경찰병원역,가락동 99-7번지 102호 가락아이디타워 1층 송파구 서울특별시 KR
252,스타벅스,3,경찰병원역,송파구 중대로 121
253,이디야,3,가락시장역,가락동 600번지 판매동 3층 07호 -1호 가락농수산물시장 송파구 서울특별시 KR
254,다이소,3,가락시장역,서울특별시 송파구 가락본동 중대로 109
255,올리브영,3,가락시장역,가락동 99-7번지 102호 가락아이디타워 1층 송파구 서울특별시 KR
256,스타벅스,3,가락시장역,송파구 중대로 121
257,이디야,3,수서역,서울특별시 강남구 수서동 광평로 280
258,다이소,3,수서역,서울특별시 송파구 가락본동 중대로 109
259,올리브영,3,수서역,서울특별시 강남구 광평로
