,건물,호선,역,주소
402,다이소,5,방이역,서울특별시 송파구 방이동 백제고분로48길 5
403,올리브영,5,방이역,서울특별시 송파구 방이동 207-10
404,스타벅스,5,방이역,송파구 오금동 17-8
405,이디야,5,올림픽공원역,서울특별시 송파구 방이동 89-11
406,다이소,5,올림픽공원역,서울특별시 송파구 방이동 백제고분로48길 5
407,올리브영,5,올림픽공원역,서울특별시 송파구 방이동 89-12
408,스타벅스,5,올림픽공원역,서울특별시 송파구 위례성대로 102 태평양파크빌라트 1층
409,이디야,5,둔촌동역,서울특별시 강동구 성내3동 415-8
410,다이소,5,둔촌동역,서울특별시 강동구 양재대로 1355 지하 1층
411,올리브영,5,둔촌동역,서울특별시 강동구 양재대로 1317
412,스타벅스,5,둔촌동역,서울특별시 강동구 양재대로 1303
