건물,호선,역,주소
올리브영,2,성수,서울특별시 성동구 성수동2가 300-65
스타벅스,2,건대입구,서울특별시 광진구 화양동 5-47
다이소,2,건대입구,서울특별시 광진구 아차산로 225 지하 1층
이디야,2,건대입구,서울특별시 광진구 화양동 한림타워 7-3 101호
올리브영,2,건대입구,서울특별시 광진구 화양동 동일로22길 115
스타벅스,2,구의,서울특별시 광진구 구의동 246-15
다이소,2,구의,서울특별시 광진구 아차산로 378
이디야,2,구의,구의동 244-50번지 1층 광진구 서울특별시 KR
올리브영,2,구의,서울특별시 광진구 자양2동 아차산로 378
스타벅스,2,강변,서울특별시 광진구 구의동 246-15
다이소,2,강변,서울특별시 광진구 강변역로 50
이디야,2,강변,서울특별시 광진구 구의3동 547
올리브영,2,강변,서울특별시 광진구 강변역로4길 10
스타벅스,2,잠실나루,서울특별시 송파구 송파동 59-9 송봉주유소
다이소,2,잠실나루,서울특별시 송파구 석촌호수로 88
이디야,2,잠실나루,서울특별시 송파구 장미시상가 내제 2층 206호
올리브영,2,잠실나루,서울특별시 송파구 신천동 올림픽로 269
스타벅스,2,잠실,서울특별시 송파구 신천동 송파대로 562 1층
다이소,2,잠실,서울특별시 송파구 석촌호수로 88
이디야,2,잠실,서울특별시 송파구 신천동 11-4
올리브영,2,잠실,서울특별시 송파구 잠실6동 7-4 잠실역8호선 지하상가 H7~10호
스타벅스,2,잠실새내,송파구 잠실동 181
다이소,2,잠실새내,서울특별시 송파구 석촌호수로 88
이디야,2,잠실새내,서울특별시 송파구 서울특별시 잠실본동 잠실동 208번지 지층 102호
올리브영,2,잠실새내,서울특별시 송파구 잠실동 184-2
스타벅스,2,종합운동장,"175 Jamsil-Dong Songpa-Gu, Seoul, 서울특별시"
다이소,2,종합운동장,서울특별시 송파구 잠실동 175-22
이디야,2,종합운동장,서울특별시 송파구 잠실본동 올림픽로 76
올리브영,2,종합운동장,서울특별시 송파구 잠실동 184-2
스타벅스,2,삼성,서울특별시 강남구 봉은사로 524
다이소,2,삼성,서울특별시 강남구 삼성1동 172-38
이디야,2,삼성,서울특별시 강남구 대치동 943-24
올리브영,2,삼성,서울특별시 강남구 역삼동 649-10
스타벅스,2,역삼,서울특별시 강남구 테헤란로 145
다이소,2,역삼,서울특별시 강남구 역삼1동 테헤란로 109
이디야,2,역삼,서울특별시 강남구 테헤란로25길 17
올리브영,2,역삼,서울특별시 강남구 역삼동 649-10
스타벅스,2,강남,서울특별시 강남구 강남대로 390
다이소,2,강남,서울특별시 강남구 역삼1동 테헤란로 109
이디야,2,강남,서울특별시 강남구 강남대로 396
올리브영,2,강남,서울특별시 서초구 서초4동 동일빌딩 1~3층 429 강남대로
스타벅스,2,교대,서울특별시 서초구 서초동 서초중앙로 138
다이소,2,교대,서울특별시 서초구 서초동 서초대로 320
이디야,2,교대,서울특별시 서초구 서초동 1669-15
올리브영,2,교대,서울특별시 서초구 서초동 1576-8
스타벅스,2,서초,서울특별시 서초구 서초동 1542-14
다이소,2,서초,서울특별시 서초구 서초동 서초대로 320
이디야,2,서초,서울특별시 서초구 서초대로48길 16
올리브영,2,서초,서울특별시 서초구 서초3동 1543-11
스타벅스,2,방배,"908-10 Bangbae-Dong Seocho-Gu, 1F, Seoul, 서울특별시"
다이소,2,방배,서울특별시 서초구 방배동 효령로 117 한성빌딩
이디야,2,방배,서울특별시 서초구 방배동 방배로 87
올리브영,2,방배,서울특별시 서초구 방배본동 768-12
스타벅스,2,사당,"1031-27 Sadang-Dong Dongjak-Gu, 1,2F, Seoul, 서울특별시"
다이소,2,사당,서울특별시 동작구 남부순환로 2057
이디야,2,사당,서울특별시 관악구 남현동 과천대로 951
올리브영,2,사당,서울특별시 동작구 사당동 동작대로 지하 3
스타벅스,2,낙성대,서울특별시 관악구 봉천동 남부순환로 1948
다이소,2,낙성대,서울특별시 관악구 봉천동 1656-10
이디야,2,낙성대,서울특별시 관악구 봉천동 1663-5
올리브영,2,낙성대,서울특별시 관악구 남부순환로 1908
스타벅스,2,서울대입구,서울특별시 관악구 청룡동 남부순환로 1812
다이소,2,서울대입구,서울특별시 관악구 봉천동 남부순환로 1840
이디야,2,서울대입구,서울특별시 관악구 중앙동
올리브영,2,서울대입구,서울특별시 관악구 남부순환로 1840
스타벅스,2,봉천,서울특별시 관악구 봉천동 927-5 청운빌딩
다이소,2,봉천,서울특별시 관악구 봉천동 남부순환로 1731
이디야,2,봉천,서울특별시 관악구 봉천동
올리브영,2,봉천,서울특별시 관악구 남부순환로 1735
스타벅스,2,신림,서울특별시 관악구 신림동 남부순환로 1619
다이소,2,신림,서울특별시 관악구 신림동 신림로 354
이디야,2,신림,서울특별시 관악구 신림동 1641-9
올리브영,2,신림,서울 관악구 서원[신림본동]동 1640-5
스타벅스,2,신대방,서울특별시 동작구 상도동 상도로 102
다이소,2,신대방,서울특별시 관악구 남부순환로 1474
이디야,2,신대방,서울특별시 관악구 신사동
올리브영,2,신대방,서울특별시 동작구 신대방동 395-69
